ticker,trade_date,insider_name,trade_type,shares,price,value,raw_response_preview
AAPL,2024-11-15,Tim Cook,S - Sale,25000.0,180.5,4512500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Tim Cook"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_value"": 45"
AAPL,2024-12-01,Luciana Lixandru,S - Sale,10000.0,185.25,1852500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Tim Cook"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_value"": 45"
AAPL,2024-12-15,Al Gore,S - Sale,5000.0,187.0,935000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Tim Cook"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_value"": 45"
AAPL,2025-01-10,Tim Cook,S - Sale+OE,30000.0,190.75,5722500.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Tim Cook"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_value"": 45"
AAPL,2025-02-05,Andrea Jung,S - Sale,7500.0,195.5,1466250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Tim Cook"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_value"": 45"
AAPL,2025-03-20,Tim Cook,P - Purchase,15000.0,200.25,3003750.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Tim Cook"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_value"": 45"
AAPL,2025-04-10,Al Gore,S - Sale,5000.0,205.0,1025000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Tim Cook"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_value"": 45"
AAPL,2025-05-15,Luciana Lixandru,S - Sale+OE,12000.0,210.0,2520000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Tim Cook"",
    ""role"": ""CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 25000,
    ""price_per_share"": 180.50,
    ""total_value"": 45"
ADBE,2024-11-15,Shantanu Narayen,S - Sale,10000.0,500.0,5000000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Shantanu Narayen"",
    ""role"": ""Chairman, President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"
ADBE,2024-12-01,John E. Martin,P - Purchase,5000.0,495.0,2475000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Shantanu Narayen"",
    ""role"": ""Chairman, President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"
ADBE,2025-01-10,Anil Bhushan,S - Sale+OE,7500.0,510.0,3825000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Shantanu Narayen"",
    ""role"": ""Chairman, President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"
ADBE,2025-02-20,Maria P. McDonald,S - Sale,3000.0,520.0,1560000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Shantanu Narayen"",
    ""role"": ""Chairman, President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"
ADBE,2025-03-15,Shantanu Narayen,P - Purchase,2000.0,530.0,1060000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Shantanu Narayen"",
    ""role"": ""Chairman, President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"
ADBE,2025-04-05,John E. Martin,S - Sale+OE,4000.0,540.0,2160000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Shantanu Narayen"",
    ""role"": ""Chairman, President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"
ADBE,2025-05-20,Anil Bhushan,P - Purchase,6000.0,550.0,3300000.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""Shantanu Narayen"",
    ""role"": ""Chairman, President and CEO"",
    ""transaction_type"": ""S - Sale"",
    ""shares"": 10000,
    ""price_per_share"
ADI,2024-11-15,John Doe,P - Purchase,1000.0,150.25,150250.0,"```json
[
  {
    ""date"": ""2024-11-15"",
    ""insider_name"": ""John Doe"",
    ""role"": ""Director"",
    ""transaction_type"": ""P - Purchase"",
    ""shares"": 1000,
    ""price_per_share"": 150.25,
    ""total_va"
